 Total battles: 1024667
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 30.46409% | 624311 | 30.464% | 539399 | 33.614% | 
 | 2    | Ferrothorn         | 19.65970% | 402893 | 19.660% | 348072 | 21.691% | 
 | 3    | Dragapult          | 19.58251% | 401311 | 19.583% | 298985 | 18.632% | 
 | 4    | Garchomp           | 16.30530% | 334150 | 16.305% | 262961 | 16.387% | 
 | 5    | Heatran            | 14.99814% | 307362 | 14.998% | 253528 | 15.799% | 
 | 6    | Kartana            | 13.30901% | 272746 | 13.309% | 207698 | 12.943% | 
 | 7    | Corviknight        | 12.66509% | 259550 | 12.665% | 209790 | 13.073% | 
 | 8    | Toxapex            | 12.21241% | 250273 | 12.212% | 200320 | 12.483% | 
 | 9    | Urshifu-Rapid-Strike | 11.73547% | 240499 | 11.735% | 188928 | 11.773% | 
 | 10   | Weavile            | 11.53628% | 236417 | 11.536% | 179677 | 11.197% | 
 | 11   | Clefable           | 11.32636% | 232115 | 11.326% | 176760 | 11.015% | 
 | 12   | Tapu Lele          | 10.81449% | 221625 | 10.814% | 170730 | 10.639% | 
 | 13   | Zapdos             | 10.62989% | 217842 | 10.630% | 178577 | 11.128% | 
 | 14   | Volcarona          | 10.10611% | 207108 | 10.106% | 149929 |  9.343% | 
 | 15   | Rillaboom          |  9.96734% | 204264 |  9.967% | 155255 |  9.675% | 
 | 16   | Melmetal           |  9.86569% | 202181 |  9.866% | 163161 | 10.168% | 
 | 17   | Tapu Fini          |  9.74931% | 199796 |  9.749% | 166642 | 10.385% | 
 | 18   | Dragonite          |  8.80945% | 180535 |  8.809% | 133311 |  8.308% | 
 | 19   | Blissey            |  8.23624% | 168788 |  8.236% | 128766 |  8.024% | 
 | 20   | Tyranitar          |  7.84670% | 160805 |  7.847% | 131466 |  8.193% | 
 | 21   | Regieleki          |  7.67659% | 157319 |  7.677% | 119895 |  7.471% | 
 | 22   | Scizor             |  7.59154% | 155576 |  7.592% | 119869 |  7.470% | 
 | 23   | Zeraora            |  7.58129% | 155366 |  7.581% | 118744 |  7.400% | 
 | 24   | Magnezone          |  7.52371% | 154186 |  7.524% | 121707 |  7.584% | 
 | 25   | Tapu Koko          |  7.50712% | 153846 |  7.507% | 126539 |  7.886% | 
 | 26   | Pelipper           |  7.26914% | 148969 |  7.269% | 136180 |  8.486% | 
 | 27   | Blacephalon        |  7.01452% | 143751 |  7.015% | 107467 |  6.697% | 
 | 28   | Slowbro            |  6.70267% | 137360 |  6.703% | 111086 |  6.923% | 
 | 29   | Barraskewda        |  6.60868% | 135434 |  6.609% | 103363 |  6.441% | 
 | 30   | Bisharp            |  6.45097% | 132202 |  6.451% | 97894  |  6.100% | 
 | 31   | Tornadus-Therian   |  6.10984% | 125211 |  6.110% | 100668 |  6.273% | 
 | 32   | Zapdos-Galar       |  5.97150% | 122376 |  5.972% | 94703  |  5.902% | 
 | 33   | Slowking-Galar     |  5.88986% | 120703 |  5.890% | 95587  |  5.957% | 
 | 34   | Mew                |  5.76919% | 118230 |  5.769% | 97689  |  6.088% | 
 | 35   | Excadrill          |  5.06277% | 103753 |  5.063% | 78856  |  4.914% | 
 | 36   | Ninetales-Alola    |  4.85050% | 99403  |  4.851% | 84775  |  5.283% | 
 | 37   | Blaziken           |  4.71470% | 96620  |  4.715% | 71662  |  4.466% | 
 | 38   | Buzzwole           |  4.62384% | 94758  |  4.624% | 73749  |  4.596% | 
 | 39   | Rotom-Wash         |  4.52762% | 92786  |  4.528% | 79827  |  4.975% | 
 | 40   | Victini            |  4.48536% | 91920  |  4.485% | 73153  |  4.559% | 
 | 41   | Gengar             |  4.42680% | 90720  |  4.427% | 65934  |  4.109% | 
 | 42   | Hawlucha           |  3.96944% | 81347  |  3.969% | 57946  |  3.611% | 
 | 43   | Hippowdon          |  3.93235% | 80587  |  3.932% | 70386  |  4.386% | 
 | 44   | Nidoking           |  3.53832% | 72512  |  3.538% | 57355  |  3.574% | 
 | 45   | Mandibuzz          |  3.10691% | 63671  |  3.107% | 50171  |  3.127% | 
 | 46   | Swampert           |  3.09964% | 63522  |  3.100% | 54999  |  3.427% | 
 | 47   | Mamoswine          |  3.02689% | 62031  |  3.027% | 50017  |  3.117% | 
 | 48   | Hydreigon          |  2.98843% | 61243  |  2.988% | 46817  |  2.917% | 
 | 49   | Kommo-o            |  2.92363% | 59915  |  2.924% | 45336  |  2.825% | 
 | 50   | Skarmory           |  2.90236% | 59479  |  2.902% | 50945  |  3.175% | 
 | 51   | Aegislash          |  2.88328% | 59088  |  2.883% | 45731  |  2.850% | 
 | 52   | Latios             |  2.78617% | 57098  |  2.786% | 43577  |  2.716% | 
 | 53   | Hatterene          |  2.78564% | 57087  |  2.786% | 47166  |  2.939% | 
 | 54   | Venusaur           |  2.68819% | 55090  |  2.688% | 42120  |  2.625% | 
 | 55   | Seismitoad         |  2.63325% | 53964  |  2.633% | 44371  |  2.765% | 
 | 56   | Togekiss           |  2.61373% | 53564  |  2.614% | 40265  |  2.509% | 
 | 57   | Cloyster           |  2.59030% | 53084  |  2.590% | 39157  |  2.440% | 
 | 58   | Alakazam           |  2.58767% | 53030  |  2.588% | 36850  |  2.296% | 
 | 59   | Torkoal            |  2.54653% | 52187  |  2.547% | 47715  |  2.973% | 
 | 60   | Crawdaunt          |  2.35247% | 48210  |  2.352% | 36692  |  2.287% | 
 | 61   | Azumarill          |  2.34340% | 48024  |  2.343% | 37372  |  2.329% | 
 | 62   | Nihilego           |  2.22004% | 45496  |  2.220% | 34740  |  2.165% | 
 | 63   | Moltres-Galar      |  2.17066% | 44484  |  2.171% | 32416  |  2.020% | 
 | 64   | Gyarados           |  2.16343% | 44336  |  2.163% | 33797  |  2.106% | 
 | 65   | Volcanion          |  2.13850% | 43825  |  2.138% | 35890  |  2.237% | 
 | 66   | Celesteela         |  2.10190% | 43075  |  2.102% | 34845  |  2.171% | 
 | 67   | Conkeldurr         |  2.08219% | 42671  |  2.082% | 32832  |  2.046% | 
 | 68   | Jirachi            |  2.08116% | 42650  |  2.081% | 33240  |  2.071% | 
 | 69   | Slowking           |  1.91989% | 39345  |  1.920% | 31598  |  1.969% | 
 | 70   | Chansey            |  1.80927% | 37078  |  1.809% | 28094  |  1.751% | 
